,Post Message,Type,Posted,Lifetime Post organic reach,Lifetime Post Organic Impressions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Engaged Users,Lifetime People who have liked your Page and engaged with your post,Lifetime Talking About This (Post) by action type - like,Post Mesage,Day posted,Date,Time
0,"The best marketing strategy ever: CARE 

Great insight! via Janice Tennant, CMO, Merrell",Photo,2021-03-29 01:49:00,557.0,584.0,571.0,548.0,4.0,1.0,4.0,"The best marketing strategy ever: CARE 

Great insight! via Janice Tennant, CMO, Merrell",Monday,2021-03-29,2022-03-29 08:49:00+03:00
1,"For March Women's Month, we're celebrating the fearless, fabulous women around the world who inspire us! 🍾  Meet Amira Yahyaoui, founder and CEO of  Mos.com. She traveled halfway across the world from Tunisia to start Mos – a digital college financial aid platform for millions of students https://bit.ly/3tpQU1C

#ChoosetoChallenge",Photo,2021-03-27 00:30:01,756.0,770.0,757.0,744.0,4.0,3.0,2.0,"For March Women's Month, we're celebrating the fearless, fabulous women around the world who inspire us! 🍾  Meet Amira Yahyaoui, founder and CEO of  Mos.com. She traveled halfway across the world from Tunisia to start Mos – a digital college financial aid platform for millions of students https://bit.ly/3tpQU1C

#ChoosetoChallenge",Saturday,2021-03-27,2022-03-29 07:30:01+03:00
2,"New Year's resolutions can be hard to keep, but Spring is a chance for a fresh start. 

Here are 3 key things you can learn from what the leading digital businesses do well:

1. Get clarity on the problem you are solving - understand the value your offering delivers to your customer
2. Focus on designing your customer experience to delight
3. Use data to refine your strategy

#DigitalTransformation #BigData #AI #ChangeLeadership #Reactionpower ##marketingdigital #Growwithus #BusinessMindset #Entrepreneurship #Success",Photo,2021-03-26 17:12:02,621.0,646.0,634.0,612.0,3.0,2.0,2.0,"New Year's resolutions can be hard to keep, but Spring is a chance for a fresh start. 

Here are 3 key things you can learn from what the leading digital businesses do well:

1. Get clarity on the problem you are solving - understand the value your offering delivers to your customer
2. Focus on designing your customer experience to delight
3. Use data to refine your strategy

#DigitalTransformation #BigData #AI #ChangeLeadership #Reactionpower ##marketingdigital #Growwithus #BusinessMindset #Entrepreneurship #Success",Friday,2021-03-26,2022-03-30 00:12:02+03:00
3,Agility is key to survival. Businesses that have been most resilient are those that have pivoted and taken smart action to accelerate their digital transformation in ways that are aligned with their growth strategy. Read on: [How to] Pivot Post-Pandemic: Turning Crisis &amp; Chaos into Action - https://bit.ly/3jNnqHw,Link,2021-03-25 01:50:03,280.0,292.0,278.0,269.0,5.0,3.0,3.0,Agility is key to survival. Businesses that have been most resilient are those that have pivoted and taken smart action to accelerate their digital transformation in ways that are aligned with their growth strategy. Read on: [How to] Pivot Post-Pandemic: Turning Crisis &amp; Chaos into Action - https://bit.ly/3jNnqHw,Thursday,2021-03-25,2022-03-29 08:50:03+03:00
4,"For March Women's Month, we're celebrating the fearless, fabulous women around the world who inspire us! 🍾 Meet Rita Ferro... 

She’s championed diversity, inclusion, and data science to push the boundaries of what marketers and advertisers can accomplish in their promotions through Disney’s diverse network portfolio. #ChoosetoChallenge
https://bit.ly/3tpQU1C",Photo,2021-03-24 17:00:14,430.0,461.0,448.0,419.0,2.0,0.0,2.0,"For March Women's Month, we're celebrating the fearless, fabulous women around the world who inspire us! 🍾 Meet Rita Ferro... 

She’s championed diversity, inclusion, and data science to push the boundaries of what marketers and advertisers can accomplish in their promotions through Disney’s diverse network portfolio. #ChoosetoChallenge
https://bit.ly/3tpQU1C",Wednesday,2021-03-24,2022-03-30 00:00:14+03:00
5,"Time for a change? Transformations are hard. Thanks to our team of skilled digital marketing experts, unlocking your business success through digital transformation can be a snip. We are driven by data and a desire to see you succeed. Let’s talk.",Photo,2021-03-24 01:49:00,683.0,722.0,711.0,678.0,4.0,2.0,4.0,"Time for a change? Transformations are hard. Thanks to our team of skilled digital marketing experts, unlocking your business success through digital transformation can be a snip. We are driven by data and a desire to see you succeed. Let’s talk.",Wednesday,2021-03-24,2022-03-29 08:49:00+03:00
6,"Spring is here! 

As your sure partner for digital growth, we'll enable a fresh start for business. Let's accelerate your growth with digital marketing, content services, and data. Get started https://bit.ly/3sKZGaH",Video,2021-03-23 01:48:18,308.0,335.0,320.0,295.0,4.0,1.0,2.0,"Spring is here! 

As your sure partner for digital growth, we'll enable a fresh start for business. Let's accelerate your growth with digital marketing, content services, and data. Get started https://bit.ly/3sKZGaH",Tuesday,2021-03-23,2022-03-29 08:48:18+03:00
7,"For March Women's Month, we're celebrating the fearless, fabulous women around the world who inspire us! 🍾

Meet Anneli Scopazzi who launched Boulevard Recruiting after successfully supporting two billion-dollar tech companies scale. A passionate advocate for diversity, Anneli is constantly creatively reimagining and reinventing what it takes to build an optimal world! With brilliance and excellence, this powerful woman embodies #ChoosetoChallenge  https://bit.ly/3tpQU1C",Photo,2021-03-22 17:00:13,497.0,524.0,513.0,489.0,2.0,0.0,2.0,"For March Women's Month, we're celebrating the fearless, fabulous women around the world who inspire us! 🍾

Meet Anneli Scopazzi who launched Boulevard Recruiting after successfully supporting two billion-dollar tech companies scale. A passionate advocate for diversity, Anneli is constantly creatively reimagining and reinventing what it takes to build an optimal world! With brilliance and excellence, this powerful woman embodies #ChoosetoChallenge  https://bit.ly/3tpQU1C",Monday,2021-03-22,2022-03-30 00:00:13+03:00
8,"For March Women's Month, we're celebrating the fearless, fabulous women around the world who inspire us! 🍾

Meet Dr. Wanjiku Kironyo internationally renowned speaker, founder of the Maji Mazuri organization, and author of the best-selling book 'Born to Be Unstoppable.' In her remarkable, inspiring #ChoosetoChallenge story she shares how she strives to change the mindset of those who see poverty and deprivation as their life destiny https://bit.ly/3tpQU1C",Photo,2021-03-21 01:40:00,1476.0,1523.0,684.0,634.0,56.0,8.0,47.0,"For March Women's Month, we're celebrating the fearless, fabulous women around the world who inspire us! 🍾

Meet Dr. Wanjiku Kironyo internationally renowned speaker, founder of the Maji Mazuri organization, and author of the best-selling book 'Born to Be Unstoppable.' In her remarkable, inspiring #ChoosetoChallenge story she shares how she strives to change the mindset of those who see poverty and deprivation as their life destiny https://bit.ly/3tpQU1C",Sunday,2021-03-21,2022-03-29 08:40:00+03:00
9,"For March Women's Month, we're celebrating the fearless, fabulous women around the world who inspire us! 🍾

Meet Hunter Bell who took a leap to launch her own brand. It always feels too soon to leap. Hunter's #ChoosetoChallenge story says you have to. Because that’s the moment between you and remarkable. https://bit.ly/3tpQU1C",Photo,2021-03-18 11:20:07,497.0,520.0,510.0,486.0,4.0,3.0,2.0,"For March Women's Month, we're celebrating the fearless, fabulous women around the world who inspire us! 🍾

Meet Hunter Bell who took a leap to launch her own brand. It always feels too soon to leap. Hunter's #ChoosetoChallenge story says you have to. Because that’s the moment between you and remarkable. https://bit.ly/3tpQU1C",Thursday,2021-03-18,2022-03-29 18:20:07+03:00
